Ab Astris Winery,TX,All Other Red Varietals,2020,Texas Hill Country,,Souzao,$62.00,Gold
Ab Astris Winery,TX,Red Blend: Cab Sauv leading blend - $48.00 - $60.99,2019,Texas High Plains,,Sinistra,$49.00,Gold
Ab Astris Winery,TX,Red Blend: Grenache leading blend,2020,Texas High Plains,,Avignon,$40.00,Gold
Ab Astris Winery,TX,Red Blend: Petite Sirah leading blend,2020,Texas High Plains,,Nox,$39.00,Gold
Ab Astris Winery,TX,Tannat,2020,Texas Hill Country,,Tannat,$55.00,Gold
Ab Astris Winery,TX,Tempranillo - $40.00 & Over,2020,Texas High Plains,,Tempranillo,$43.00,Gold
Ab Astris Winery,TX,Dry Rose (Blend) - RS 0 - .099,2022,Texas High Plains,,Aurora Rose,$28.00,Silver
Ab Astris Winery,TX,Fiano,2022,Texas High Plains,,Fiano,$29.00,Silver
Ab Astris Winery,TX,Montepulciano,2020,Texas High Plains,,Montepulciano,$40.00,Silver
Ab Astris Winery,TX,Mourvedre,2020,Texas High Plains,,Mourvedre,$41.00,Silver
Ab Astris Winery,TX,Other White Varietals,2022,Texas High Plains,,Picpoul Blanc,$32.00,Silver
Ab Astris Winery,TX,Red Blend: Cabernet Franc leading blend,2019,Texas High Plains,,Dextra,$47.00,Silver
Ab Astris Winery,TX,Tannat,2019,Texas High Plains,Narra Vineyards,Tannat,$48.00,Silver
Above the Curve Vineyard,WA,Merlot - Up to - $22.99,2022,Yakima Valley,Old Vine,Merlot,$22.00,Bronze
Above the Curve Vineyard,WA,Semillon,2022,Yakima Valley,Old Vine,Semillon,$22.00,Silver
Above The Rush,CA,All Other Red Blends; Up to $34.99,2021,Calaveras County,,New Melones Blend,$30.00,Bronze
Above The Rush,CA,Charbono,2021,Calaveras County,,Charbono,$36.00,Bronze
Acaibo,CA,Cab Sauv - $80.00 - $99.99,2018,Sonoma County,GC Lurton Vineyards,Cabernet Sauvignon,$80.00,Silver
Acidity Trip,CA,Packaging: Whimsical,2022,Sonoma County,,Sauvignon Blanc,$18.00,Best of Class
Acidity Trip,CA,Packaging: Abstract Art,2022,Monterey County,,Chardonnay,$18.00,Silver
Acidity Trip,CA,Packaging: Series,2021,Sonoma County,,Pinot Noir & Chardonnay,$18.00,Silver
Acquiesce Winery & Vineyards,CA,Other White Varietals,2022,Mokelumne River,,Clairette Blanche,$34.00,Bronze
Acquiesce Winery & Vineyards,CA,Dry Rose (one varietal) - RS 0,2022,Mokelumne River,,Grenache Rose,$32.00,Double Gold
Acquiesce Winery & Vineyards,CA,White Blends - $30.00 and Over,2022,Mokelumne River,,Jolie,$34.00,Double Gold
Acquiesce Winery & Vineyards,CA,Other White Varietals,2022,Mokelumne River,,Bourboulenc,$34.00,Gold
Acquiesce Winery & Vineyards,CA,Rose Sparkling (non-Pinot Noir Varietal),2021,Mokelumne River,,Grenache,$55.00,Gold
Acquiesce Winery & Vineyards,CA,Roussanne,2022,Mokelumne River,,Roussanne,$38.00,Gold
Acquiesce Winery & Vineyards,CA,Blanc de Blancs,2021,Mokelumne River,,Methode Champenoise,$55.00,Silver
Acquiesce Winery & Vineyards,CA,Grenache - Up to - $34.99,2022,Mokelumne River,Christinas Outlier,Grenache,$32.00,Silver
Acquiesce Winery & Vineyards,CA,Grenache Blanc,2022,Mokelumne River,,Grenache Blanc,$34.00,Silver
Acquiesce Winery & Vineyards,CA,Other White Varietals,2022,Mokelumne River,,Picpoul Blanc,$34.00,Silver
Acquiesce Winery & Vineyards,CA,Viognier $30.00 & Over,2022,Mokelumne River,,Viognier,$42.00,Silver
Acquiesce Winery & Vineyards,CA,White Blends - $30.00 and Over,2022,Mokelumne River,,Ingenue,$40.00,Silver
Acquiesce Winery & Vineyards,CA,White Blends - $30.00 and Over,2022,Mokelumne River,,Belle Blanc,$40.00,Silver
Acrobat,CA,Dry Rose (one varietal - RS .3 - .99,2022,Oregon,,Rose,$15.99,Gold
Acrobat,CA,Pinot Gris/Grigio - Up to - $17.99,2022,Oregon,,Pinot Gris,$15.99,Gold
Acrobat,CA,Pinot Noir - $18.00 - $23.99,2022,Oregon,,Pinot Noir,$19.99,Silver
